title;heading;content;tokens
Josefa Dress;Dresses;Get instant, effortless sophistication in Josefa. Rat & Boa's twist on the classic LBD, Josefa's relaxed, easy fit with its cowl neck and ring shoulder detail make it the perfect beach-to-bar dress. Throw her on with sandals, sea-tousled hair and a laid-back, holiday vibe. Open sides Ring detail on shoulder Cowl front Side slits;150
Zeta Top Orange;TOPS;Because sometimes less really is more...get on first name terms with Zeta. Unapologetically bold and undeniably joyful, reach for the zesty Zeta halter top in orange, with its flattering gathered detailing, when you're feeling your most flirty and fierce. Wear with our co-ordinating Oriana skirt for maximum impact or pair with your favourite summer separates. Stretch jersey Knot detail front Pair with Oriana Skirt;150
Zeta Top Floral;TOPS;Unapologetically bold and undeniably joyful, reach for the floral-printed Zeta halter top, with its flattering gathered detailing, when you're feeling your most flirty and fierce. Wear with our co-ordinating Sorella mini skirt for maximum impact or pair with your favourite summer separates. Stretch jersey Knot detail front Floral print Pair with Sorella Skirt;150
Onyx Top;TOPS;Because sometimes less really is more...get on first name terms with Onyx. Hitting the sweet spot between sophisticated and unapologetically sexy, reach for the Onyx halter top in black, with its off-the-shoulder shape and ring detailing, when you're in need of glamour-fueled, after-dark impact. We'll be pairing ours with the co-ordinating Vittoria skirt for maximum impact or offsetting its seductive undertones with an oversized blazer. Ring detail front Pair with Vittoria Skirt;150
Stefani Dress;Dresses;A classic reinvented that you'll want to wear forever...it's Stefani. A Rat and Boa remix of the little black dress. With statement sleeves and tassel details, Stefani is an ultra-chic mini that demands cocktails and long, carefree nights. Wear with sandals and your favourite beach bag by day or dress her up with heels and your favourite gold jewellery. Boat neckline Tassel detail Batwing sleeve Adjustable pull ties;150
Fiametta Blouse;TOPS;A signature Rat and Boa shape conjured in dreamy sunset shades... meet Fiametta. Your favourite flirty blouse remixed in a warm pink and orange print, Fiametta's delicate ties and subtle frills are made for steamy days and far flung adventures. The perfect match for glowing, sun-kissed skin, pair with our co-ordinating Bahia bikini or your favourite summer separates. Front tie fastenings Semi sheer Frill detail 100% Viscose;150
Alanis Dress Blue;Dresses;The classic shirt dress but not as you know it... it's Alanis. A wear-forever button-down silhouette remixed with a wrap mini skirt, waist tie and oversized cuffs, this season we've cut Alanis in a striking blue. The result? Ease, elegance and understated glamour. Wear unbuttoned as low as you dare and style with sleek fresh-from-the-sea hair and layers of gold necklaces. Button front detail Wrap front Emerald satin Point collar Polyester Satin;150
Alanis Dress Cypress Green;Dresses;The classic shirt dress but not as you know it... it's Alanis. A wear-forever button-down silhouette remixed with a wrap mini skirt, waist tie and oversized cuffs, this season we've cut Alanis in Cypress Green. The result? Ease, elegance and understated glamour. Wear unbuttoned as low as you dare and style with sleek fresh-from-the-sea hair and layers of gold necklaces. Button front detail Wrap front Emerald satin Point collar Polyester Satin;150
Valente Dress;Dresses;Pure glamour with a bohemian air. Meet Valente. A maxi dress conjured in animal ombre, indulge in the undiluted sexiness of Valente. With a plunging cowl neck and low cowl back, she has an adjustable drawstring above her side-split skirt so that you can reveal and conceal as much as you dare. Made for impact, wear with high heels and dial up the drama with stand-out earrings and our co-ordinating headscarf. Semi sheer Adjustable drawstring side slit Cowl front & back Adjustable bra sliders;150
Lavina Dress;Dresses;Pure glamour with a bohemian air. Meet Lavina. A maxi dress tie-dyed in rich, enticing shades, indulge in the undiluted sexiness of Lavina. With a plunging cowl neck and low cowl back, she has an adjustable drawstring above her side-split skirt so that you can reveal and conceal as much as you dare. Made for impact, wear with high heels and dial up the drama with stand-out earrings. Tie dye print Semi sheer Adjustable drawstring side slit Cowl front & back Adjustable bra sliders;150
Isamaya Dress;Dresses;Reveal, conceal and radiate in Isamaya. A figure-skimming, one-shoulder maxi dress in tiramisu jersey, Isamaya is a heady, super-sexy mix of daring cut-outs, hardware detailing and a thigh-high lit with knotted finish. Wear with layers of chunky gold jewellery and balance out her bold shape with an oversized blazer. Hardware on shoulder Thigh slit with knot detail;150
Flavia Dress;Dresses;Fun, flirty and ready for anything...it's Flavia. A romantic, ruffled mini dress dreamed up in a navy zebra patchwork print, Flavia is set to be your new wardrobe favourite. Dress her down with boots and an oversized tote or add a bold red lip and layers of gold jewellery after dark. Zebra print Frill detail Hook & eye front fastening;150
Ophelia Dress White;Dresses;Where simplicity meets sex appeal you'll find Ophelia. A Rat & Boa remix of a classic maxi slip dress, the Ophelia in slightly-transparent white satin has a cowl neck and perfectly sophisticated cowl back adorned with a detachable chain detailing that elevates her to true perfection. The perfect dress to see you through party season, style with heels, hoops and a stand-out clutch. Cowl front One shoulder self tie Adjustable strap Detachable chain detail at back;150
Ophelia Dress Green;Dresses;Where simplicity meets sex appeal you'll find Ophelia. A Rat & Boa remix of a classic maxi slip dress, the Ophelia in green satin has a cowl neck and perfectly sophisticated cowl back adorned with a detachable chain detailing that elevates her to true perfection. The perfect dress to see you through party season, style with heels, hoops and a stand-out clutch. Cowl front One shoulder self tie Detachable chain detail at back;150
Costella Dress;Dresses;She's a classic with a major twist...meet Costella. A chic black maxi dress but not as you know it, Costella has a daring cut-out and knotted detailing that makes her anything but ordinary. Style with flat boots and a blazer to balance out her audacious attitude or elevate with heels and chunky gold jewellery. Back zip fastening Cut out detail at front Side slit;150
Kikka Dress;Dresses;Embrace the magic of monochrome in Kikka. A mini zebra-print tunic with a fun and flirty 70s spirit, the Kikka dress has oversized sleeves, a gathered tie neck that you can make as daring as your mood dictates and a cinched waist. Layer with knee-high boots and knits by day and unleash her wild side after dark with a bold lip and statement earrings. Balloon sleeve Waist tie fastening;150
Zinnia Dress;Dresses;Embrace the magic of monochrome in Zinnia. A cowl-necked, floor-skimming maxi dress whipped up in a bold zebra print, Zinnia has an elegantly-draped cowl back with delicate cross straps and a side split skirt, all the better to make the entrance you deserve. Wear with high heels to make the most of her long, lean silhouette and maximise her impact by pairing with our co-ordinating scarf. Zebra print Semi sheer Side slit Cowl back;150
Serafia Dress Green;Dresses;Her details are everything...meet Serafia. A zesty one-shouldered mini dress with our signature cowl back, the Serafia in golden cypress has an elegantly-tasselled scarf that you can wrap around you in ways that are only limited by your imagination. Wear with high heels and smoky eyes and take her out dancing. Cowl back Tassel detail;150
Serafia Dress Cocoa;Dresses;Her details are everything...meet Serafia. A slinky one-shouldered mini dress with our signature cowl back, the Serafia in cocoa has an elegantly-tasselled scarf that you can wrap around you in ways that are only limited by your imagination. Wear with high heels and smoky eyes and take her out dancing. Cowl back Tassel detail;150
Lucille Dress;Dresses;Let yourself loose in Lucille. A more-is-more maxi that's made for drama. Conjured in a bold, blue iris orchid print with ruffled shoulders and floor-weeping hem that move as you move, Lucille is made for dancing all night. Wear with heels and hoops and get ready to have all eyes on you;150
Thalia Dress;Dresses;She's back and she's got a new look. It's Thalia. A signature Rat & Boa shape whipped up in our new season navy patchwork zebra print, Thalia has romantic fluted sleeves, a figure-skimming cut and an undeniably bold spirit. Dress her down with boots and an oversized blazer or add a bold red lip and her co-ordinating headscarf for instant impact. Button front fastening Low V neckline Slim sleeves with extreme frill cuff Semi sheer Zebra print Maxi length Our Dresses are designed long to suit all heights and can be shortened as required.;150
VIENNA DRESS;Dresses;A perfect blend of decadence and daring. Meet Vienna. A cowl-necked maxi dress conjured from irresistibly tactile devore in rich autumnal tones, Vienna has a low cowl back and statement-making bow detailing on one shoulder. Style with heels and dark lips to channel pure, Hollywood glamour. Silk blend devore with floral motif Self bow tie shoulder detail Cowl back Lining;150
Simonetta Dress;Dresses;Simple, sexy and ready to make a statement...introducing Simonetta. A flawless one-shoulder maxi dress conjured in a bold, purple orchid print. With a slinky, streamlined silhouette, side split detail and our signature cowl back, she's the epitome of printed perfection. Sweep your hair up - all the better to let her details shine - and add chunky jewellery and a statement clutch. One shoulder strap detail Asymmetric neckline Adjustable bra sliders Side slit details Floral motif;150
Alizee Dress;Dresses;A dream in beaded green...meet Alizee. With her beautiful balloon sleeves, a deep neckline and light-catching bead detailing, Alizee is an irresistible mix of classic Hollywood glamour and modern sex appeal - and just the dress to see you through the party season. Style her with heels, statement jewellery and get ready to shine.;150
Dakota Jumpsuit;JUMPSUITS;Long, lean and ready to let loose, meet Dakota. The classic black tux reinvented as a sexy and sophisticated jumpsuit, Dakota's fluid tailoring and flawless silhouette are an irresistible combination. Keep the styling simple...wear with oversized earrings and let her do all the talking.;150
Harlequin Dress Cypress;Dresses;It's Harlequin...but not as you know her. The signature R&B dress you love, with her balloon sleeves, button front and effortless air, this season Harlequin comes in a beautiful shade of golden cypress. Wear with gold jewellery, tousled hair and remember that attitude is everything.;150
Malika Dress;Dresses;Shimmer and shine wherever you go in Malika. A magic sequin mini dress with our signature cowl neck and barely-there halter ties, Malika radiates daring decadence, perfect for when you want to kick off your heels and dance the night away. Keep styling stripped back and let her do all the talking. Hand finished sequin Halterneck with tie fastening Backless;150
Bonita Set Black;;"Be sunshine ready in our playful yet stylish ‘Bonita’ set. This floral printed set is distinctly sexy and feminine. To compliment the vintage cut of the crop, trimmed with lace and short puffed sleeves, we've paired it with a waist defining mini skirt to emphasise the silhouette. You can mix and match the pieces as separates with your current wardrobe staples, but remember; together is better. Style it with Espadrilles to add a laid back flair. Available in both black and white. Bow tie fastening at back of crop Sweetheart neckline with lace trim Elasticated sleeves Mini length skirt with side tie fastening Concealed button fastening on skirt View sizing chart Size 1/2 Bust 1/2 Waist Length XXS 34 32 44 XS 36 35.5 44.5 S 38 37.5 45 M 40 39.5 45.5 L 42 41.5 46 All measurements are in cm and are measured with the product laid flat. Please refer to our sizing guide on our home page for general instructions. ×";150
Lazure Blouse;Blouse;Taking Rat & Boa's signature cowl neck and remixing it into an stand-out blouse, Lazure is crafted in striking zebra print viscose with outsized slit cuffs, wrap-around ties and an effortlessly elegant air that's made for beach-to-bar dressing. Pair with her co-ordinating bikini for maximum impact poolside or style with your favourite summer separates and wardrobe layering staples for year-round versatility. Cowl front Slit detail in sleeves Side tie wrap around fastening Pair with matching bikini;150
Delfina Bikini Top;Bikini;A beautifully flattering and irresistibly comfortable shape, Delfina is classic string bikini top conjured in a warm peacock feather print and elevated with delicate ring detailing. Mix and match with the sun-fuelled prints of our sarongs or style her under the Kaia or Lulema blouse and let her vibrant pattern shine through. String tie fastening Peacock feather print Delicate gold ring detail;150
Constanza Swimsuit;Swimsuit;Inspired by the never-ending passion for animal print that runs through Rat & Boa's DNA, Constanza has a daring plunge neckline and a waist tie that comes with detachable leather tassels, ready to be worn your way. Flawless and flattering, she's not for the faint-hearted... Pair with the Lazure sarong to truly capture your wild side or style under one of our semi-sheer blouses to let her bold print shine through. Low plunging neckline Detachable leather tassels Flattering fit Waist tie fastening Lined;150
Mazari Bikini Top;Bikini;Printed with the tropical palms that give her her name, Mazari is a boldly cut, string-tie bikini top finished with elevated bead detailing for added flair. Wear as a set or mix and match with our other sun-fuelled prints and vibrant separates. Italian lycra Triangle bikini top and low cut pant Self tie straps with beading detail Lined;150
Mazari Bikini Pant;Bikini;Understated and sexy, the Mazari bikini pant is inspired and printed with the palm trees of the same name. Constructed in a form fitting Italian lycra, Mazari is a boldly cut, string-tie bikini finished with elevated bead detailing. Wear as a set or mix and match with our other sun-fuelled prints and vibrant separates. Italian lycra Triangle bikini top and low cut pant Self tie straps with beading detail Lined;150
Lazure Bikini Top;Bikini;Inspired by the enduring passion for animal print that's woven through Rat & Boa's DNA, Lazure is a boldly cut, string-tie bikini top, elevated with bead detailing for added flair. Style her with our other zebra pieces to really unleash your wild side or slip on under a semi-sheer blouse and let the bold print shine through. Italian lycra Triangle bikini top and low cut pant Self tie straps with beading detail Lined;150
Lazure Bikini Pant;Bikini;Inspired by the enduring passion for animal print that's woven through Rat & Boa's DNA, Lazure is a boldly cut, string-tie bikini pant, elevated with bead detailing for added flair. Style her with our other zebra pieces to really unleash your wild side or slip on under a semi-sheer blouse and let the bold print shine through. Italian lycra Triangle bikini top and low cut pant Self tie straps with beading detail Lined;150
Miro Lime Bikini Top;Bikini;A boldly cut, string-tie bikini top crafted in a zesty, metallic lime green, Miro has a skimpy, scene-stealing shape and a playful spirit that's made for sun-fuelled adventures, wherever you are. Wear as a set or mix and match with our other liquid metal swimwear and our vibrantly printed sarongs. Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined;150
Miro Lime Bikini Pant;Bikini;A boldly cut, string-tie bikini pant crafted in a zesty, metallic lime green, Miro has a skimpy, scene-stealing shape and a playful spirit that's made for sun-fuelled adventures, wherever you are. Wear as a set or mix and match with our other liquid metal swimwear and our vibrantly printed sarongs. Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined;150
Miro Orange Bikini Top;Bikini;A boldly cut, string-tie bikini top whipped up in zesty, metallic orange, Miro has a skimpy, scene-stealing shape and a playful spirit that's made for sun-fuelled adventures, wherever you are. Wear as a set or mix and match with our other liquid metal swimwear and our vibrantly printed sarongs. Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined;150
Miro Orange Bikini Pant;Bikini;A boldly cut, string-tie bikini pant crafted in a zesty, metallic orange, Miro has a skimpy, scene-stealing shape and a playful spirit that's made for sun-fuelled adventures, wherever you are. Wear as a set or mix and match with our other liquid metal swimwear and our vibrantly printed sarongs. Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined;150
Mahina Bikini Top;Bikini;With an ultra-versatile cut created in playful rainbow and striking zebra prints, our Mahina string bikini top is Rat & Boa's signature fun and flirty spirit brought to life. Mix and match with our zebra sarong and separates or style under our semi-sheer pieces to reveal and conceal. Contrast printed cup Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined;150
Mahina Bikini Pant;Bikini;With an ultra-versatile cut created in playful rainbow and striking zebra prints, our Mahina string bikini top is Rat & Boa's signature fun and flirty spirit brought to life. Mix and match with our zebra sarong and separates or style under our semi-sheer pieces to reveal and conceal. Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined;150
Fantini Bikini Top;Bikini;Turn up the heat in Fantini, a high-impact, vibrantly printed bikini that's perfect for paradise. A boldly cut, string-tie bikini top that's crafted in an exclusive heat-fuelled abstract print and finished with tie-dye stitching, Fantini has a scene-stealing shape, contrasting pink ties and a seductive spirit that's made for sultry days and endless summers. Wear as a set or mix and match with our other sun-fuelled prints. Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined Pair with matching Fantini Blouse / Skirt;150
Fantini Bikini Pant;Bikini;A boldly cut, string-tie bikini pant that's crafted in an exclusive heat-fuelled abstract print and finished with tie-dye stitching, Fantini has a scene-stealing shape, contrasting pink ties and a seductive spirit that's made for sultry days and endless summers. Wear as a set or mix and match with our other sun-fuelled prints. Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined Pair with matching Fantini Blouse / Skirt;150
Mica Bikini Top;Bikini;With a wear-forever, ultra-versatile cut in an exclusive muted butterfly print offset with rich, metallic green, our Mica string bikini top is a true modern classic infused with irresistible, nostalgic glamour. Wear as a set or mix and match with our other printed pieces. Contrast metallic cup Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined;150
Mica Bikini Pant;Bikini;With a wear-forever, ultra-versatile cut in an exclusive muted butterfly print offset with rich, metallic green, our Mica string bikini top is a true modern classic infused with irresistible, nostalgic glamour. Wear as a set or mix and match with our other printed pieces. Contrast metallic cup Italian lycra Triangle bikini top and low cut pant Self tie straps with toggle monogram ends Lined;150
Fantini Blouse;Blouse;Taking Rat & Boa's signature cowl neck and remixing it into an stand-out blouse, Fantini is conjured in a heat-generating, abstract printed viscose with outsized slit cuffs, wrap-around ties and a sultry, sophisticated air that's made for beach-to-bar dressing. Pair with her co-ordinating bikini for maximum impact poolside or style with your favourite summer separates and wardrobe layering staples for year-round versatility. Cowl front Slit detail in sleeves Side tie wrap around fastening Pair with matching bikini;150
Kaia Blouse;Blouse;Our signature cult blouse, crafted in zesty lime green for endlessly versatile, timeless appeal, Kaia is made from semi-sheer viscose with flared sleeves - this season even more exaggerated and with with string tie fastenings for added drama - romantic ruffles and delicate ties ready to be styled your way. Use as the ultimate cover-up by the beach - she's at her best with bold prints visible beneath - or layer with your favourite separates in the city. String tie fastening;150
Lulema Blouse;Blouse;A show-stopping, semi-sheer blouse created in a fresh shade of lemon yellow, Lulema has captivating, oversized sleeves and a high, button-up neck. Style her over a boldly printed bikini by day or dress her up with heels, high-waisted pants and a bold lip as the sun starts to set. Exaggerated sleeves Lettuce hem detail Button collar fastening Keyhole detail at back;150
Lazure Skirt;Skirt;A nineties-inspired slip skirt infused with a bold spirit, Lazure is crafted in monochrome zebra with a flawless shape and side-tie fastenings. Pair with our co-ordinating bikini or the show-stopping Lazure blouse for all-eyes-on-you impact or mix and match with high-shine metallics and technicolour prints. Slip on style Side tie fastenings;150
Delfina Bikini Pant;Bikini;A beautifully flattering and irresistibly comfortable shape, Majorelle is a classic string bikini pant cut in a warm butterfly print and elevated with embroidery and beaded detailing. Style her with the matching taselled sarong or mix and match with our other sun-fuelled prints and vibrant shades. String tie fastening Embroidery detail Butterfly print;150
Majorelle Bikini Top;Bikini;A beautifully flattering and irresistibly comfortable shape, Majorelle is classic string bikini top conjured in a warm butterfly print and elevated with embroidery and beaded detailing. Style her with the matching taselled sarong or mix and match with our other sun-fuelled prints and vibrant shades. String tie fastening Embroidery detail Butterfly print;150
Majorelle Bikini Pant;Bikini;A beautifully flattering and irresistibly comfortable shape, Majorelle is classic string bikini pant conjured in a warm butterfly print and elevated with embroidery and beaded detailing. Style her with the matching taselled sarong or mix and match with our other sun-fuelled prints and vibrant shades. String tie fastening Embroidery detail Butterfly print;150
Cosima Bikini Top;Bikini;With a wear-forever, ultra-versatile cut crafted in psychedelic leopard and a heat-fuelled abstract print, our Cosima string bikini top is Rat & Boa's signature fun and flirty spirit brought to life with an 80s-inspired spin. Wear as a set or mix and match with our other printed pieces. Contrast metallic cup Italian lycra Triangle bikini top and low cut pant Placement print detail Self tie straps with toggle monogram ends Lined;150
Cosima Bikini Pant;Bikini;With a wear-forever, ultra-versatile cut crafted in psychedelic leopard and a heat-fuelled abstract print, our Cosima string bikini pant is Rat & Boa's signature fun and flirty spirit brought to life with an 80s-inspired spin. Wear as a set or mix and match with our other printed pieces. Italian lycra Triangle bikini top and low cut pant Placement print detail Self tie straps with toggle monogram ends Lined;150
Majorelle Sarong;Cover Ups;With long, lean lines and a wrap-around shape, the long, tasselled Marjorelle sarong is crafted from viscose georgette and is a vision in technicolour. Knot her over our co-ordinating bikini for show-stopping, head-to-toe impact or or wrap her into everything from a dress to a headscarf...her only limits are your imagination. Fringe tassel detail;150
Mazari Blouse;Blouse;Taking Rat & Boa's signature cowl neck and remixing it into an stand-out blouse, Mazari is printed with the topical palms that give her her name and crafted from viscose with outsized slit cuffs, wrap-around ties and an effortlessly elegant air that's made for beach-to-bar dressing. Pair with her co-ordinating bikini for maximum impact poolside or style with your favourite summer separates and wardrobe layering staples for year-round versatility. Cowl front Slit detail in sleeves Side tie wrap around fastening Pair with matching bikini;150
Fantini Skirt;Skirt;Meet the Fantini, a bold and beautiful slip skirt made from a luxe crinkle viscose and with added drama courtesy of a mini floor-skimming train at the back. With a fluid silhouette crafted in our irresistibly spicy print, it's an ultra-versatile summer staple that you'll want to wear forever. Style with the matching bikini for high-impact beach-to-bar dressing or wear with tailored separates and oversized sweaters for all-season appeal. Slip on style Side tie fastenings;150
Farrah Dress Blue;Dresses;Effortlessly chic with a nostalgic, 70s-inspired feel, the Farrah dress is a flawless mini made to hold its own after dark. Crafted from luxe, figure-skimming satin in a sophisticated shade of blue and cut to a strong, dramatic silhouette, it has an elegantly high neck and extra long, exaggerated cuffs that enhance the fluidity of this style. Complete the look with flat sandals or strappy heels and oversized gold hoops. Exaggerated sleeves Button collar fastening Keyhole back detail;150
Opium Dress Black;Dresses;Effortlessly chic and powerfully sexy, the Opium mini is Rat & Boa's daring take on the little black dress. Crafted from sheer viscose and cut to a strong, dramatic silhouette, it has an elegantly high neck and extra long, exaggerated cuffs that enhance the fluidity of this style. Style over a lace body or slip to reveal and conceal and pair with flat sandals or strappy heels. Exaggerated sleeves Button collar fastening Keyhole back detail Sheer fabric;150
Farrah Dress Pink;Dresses;Effortlessly chic with a nostalgic, 70s-inspired feel, the Farrah dress is a mini dress sure to hold its own after dark. Crafted from luxe, figure-skimming satin in a high-impact shade of shocking pink and cut to a strong, dramatic silhouette, it has an elegantly high neck and extra long, exaggerated cuffs that enhance the fluidity of this style. Complete the look with flat sandals or strappy heels and oversized gold hoops. Exaggerated sleeves Button collar fastening Keyhole back detail;150
Farretti Dress Black;Dresses;Skin revealing in the most seductive and stylish way with multiple elevated details that bring the drama, the Farretti dress is a love-forever maxi crafted from sheer chiffon in black. With a perfectly sexy and flattering silhouette, it has exaggerated sleeves finished with extra long cuffs and delicate ties, a scooped neckline, split skirt and ruffled details that trace your contours. Style over a bodysuit or slip to reveal and conceal as you dare and complete the look with layers of chunky gold jewellery. Invisible zip fastening Open cuff with string ties Thigh high slit Frill details;150
Farretti Dress Blue;Dresses;Skin revealing in the most seductive and stylish way with multiple elevated details that bring the drama, the Farretti dress is crafted from sheer chiffon in a striking shade of blue. With a perfectly sexy and flattering silhouette, it has exaggerated sleeves finished with extra long cuffs and delicate ties, a scooped neckline, split skirt and ruffled details that define the body. Style over a bodysuit to reveal and conceal as much as you dare and complete the look with layers of chunky gold jewellery. Invisible zip fastening Open cuff with string ties Thigh high slit Frill details;150
Laviza Dress;Dresses;Taking our enduring love of animal print and elevating it with luxury details, the Laviza dress is an ultra-flattering, cheetah print maxi crafted from semi-sheer viscose, with a timeless, sophisticated silhouette that offsets its wild side. A perfectly flawless occasion dress, it blends a floor-skimming shape with a slit skirt, cowl neckline and a low back framed with twist detailing and delicately criss-crossing straps. Wear with heels and gold jewellery and style with an oversized blazer for the ultimate finishing touch. Slip on style Side slit opening Cowl front neckline Cross back detail Cheetah print;150
Absinthe Dress;Dresses;Taking Rat & Boa's signature cowl and elevating it with luxury details, the Absinthe dress is an ultra-flattering, sensual maxi with a timeless silhouette, crafted from semi-sheer viscose in a powerful shade of purple. A perfectly flawless occasion dress, it blends a floor-skimming shape with a slit skirt, cowl neckline and a low back framed with twist detailing and delicately criss-crossing straps. Wear with heels and gold jewellery and style with an oversized blazer for the ultimate finishing touch. Slip on style Side slit opening Cowl front neckline Cross back detail;150
Fransisco Dress Lime;Dresses;With a sleek silhouette and elevated, eye-catching details, the hypnotic Fransisco dress is a lightweight one-shoulder maxi. Crafted from a luxe semi-sheer crinkle chiffon in a zesty shade of lime green, it's finished with a subtly sophisticated cobra print, and lines of glittering sequins that contour the body. Style with heels, statement earrings and sun-kissed skin for effortlessly cool, endlessly sexy summer style. Invisible zip fastening at back Snake motif Sequin detail One shoulder fastening Slit opening at back;150
Fransisco Dress Tangerine;Dresses;With a sleek silhouette and elevated, eye-catching details, the Fransisco dress is a lightweight one-shoulder maxi that channels a rebellious spirit with a glamorous spin. Crafted from a luxe semi-sheer crinkle chiffon in a striking shade of ombre tangerine orange, it's finished with a subtle cobra print and lines of glittering sequins made to contour the body and catch the light as you move. Style with heels, statement earrings and the Benedetta Blazer for effortlessly cool, endlessly sexy style. Invisible zip fastening at back Snake motif Sequin detail One shoulder fastening Slit opening at back;150
Azzara Dress;Dresses;Our much-loved, timeless silhouette reimagined as a maxi, the Azzara is the ultimate occasion dress. A fresh and flawless one-shouldered maxi crafted in sleek, mint green satin, it's finished with our signature cowl back, a split skirt and an elegantly-tasselled scarf ready to be draped and wrapped your way. Style with heels to elongate its long, lean silhouette and round out your look with a bold lip and statement jewellery. Cowl back Tassel detail Side slit opening;150
Antonella Dress;Dresses;Antonella is a new season take on our most show-stopping silhouette, crafted from a luxe viscose and printed with bold, abstract florals and tie-dye details in rich, moody shades. With a figure-hugging, floor-skimming silhouette, a backless, halterneck shape and deep, plunging neckline, slip it on after dark when you really want to make an entrance. Wear with heels to showcase its long, lean silhouette and keep your styling to a minimum with layers of gold bangles. Deep front cowl Maxi length with wide hem Backless Self tie halter fastening Bold floral motif;150
Cobra Blouse Lime;TOPS;The Cobra is Rat & Boa's signature, ultra-versatile ruffled blouse shape crafted in a luxe crinkle viscose and with added drama courtesy of slit, extra long cuffs and delicate ties. Printed with a soft and subtle snake print against a bold, zesty shade of lime, it's a playful blend of ease and elegance you'll want to wear forever. Style with the matching slip skirt for a 90s inspired mood and pair with statement rings to showcase the stand out cuff details. Open cuff with string ties String tie fastening Frill details Snake print motif;150
Cobra Blouse Pink;TOPS;The Cobra is Rat & Boa's signature, ultra-versatile ruffled blouse shape crafted in a luxe crinkle viscose and with added drama courtesy of slit, extra long cuffs and delicate ties. Printed with a soft and subtle snake print against a moody, grunge-fuelled shade of pink it's a playful blend of ease and elegance you'll want to wear forever. Style with the matching slip skirt for a 90s inspired mood and pair with statement rings to showcase the stand out cuff details. Open cuff with string ties String tie fastening Frill details Snake print motif;150
Cobra Skirt Lime;BOTTOMS;A silky, fluid slip skirt crafted in a luxe crinkle viscose, the Cobra has added drama courtesy of a mini floor-skimming train at the back. Printed with a soft and subtle snake print against a bold, zesty shade of lime, it’s an ultra-versatile blend of ease and elegance you'll want to wear forever. Style with the matching blouse for a 90s inspired mood or layer over your favourite swimwear. Slip on style Side tie fastenings;150
Cobra Skirt Pink;BOTTOMS;A silky, fluid slip skirt crafted in a luxe crinkle viscose, the Cobra has added drama courtesy of a mini floor-skimming train at the back. Printed with a soft and subtle snake print against a moody, grunge-fuelled shade of pink, it’s an ultra-versatile blend of ease and elegance you'll want to wear forever. Style with the matching blouse for a 90s inspired mood or layer over your favourite swimwear. Slip on style Side tie fastenings;150
Montana Jumpsuit;JUMPSUITS;Crafted from contrasting textures - a luxe, fluid satin that gives the wide-leg silhouette its grace and movement paired with lightweight crinkle chiffon. With extra long scarf ties ready to be twisted, knotted and styled your way and a backless silhouette it radiates timeless glamour. Pair with platform heels to make the most of its long, lean shape and add oversized hoops or stacks of bangles. Invisible zip fastening Contrasting fabrics Multi wear fastening options Wide leg pant Side tie fastening;150
Carina Dress;Dresses;A perfectly simple maxi elevated with subtly chic details, the Carina dress is a 90s-inspired slip crafted from a sophisticated green floral jacquard. A love-forever wardrobe essential, it has an ultra-flattering silhouette with a side split skirt, low back and delicate, criss-crossing ties. Wear with sandals or heels on summer days and steamy nights then layer with a chunky knit and knee high boots to style it out for all seasons. Invisible zip fastening Side slit opening Self fastening cross back detail;150
Gialina Cardigan;TOPS;The ultimate luxe grunge cover-up, the Gialina sheer cardigan is crafted in a moody, 90s-inspired print that blends bold florals and subtle tie-dye. An ultra-versatile, love-forever wardrobe staple, it has a flattering, figure-skimming shape elevated with extra long cuffs, delicate ties and ruffled details for a romantic finish. Throw on over your favourite swimwear and summer separates when the temperature's high or style with vintage denim for year-round appeal. Self tie fastening Open cuff details with string ties;150
Annika Dress;Dresses;Drawing on our enduring love of animal print courtesy of bold, monochrome zebra, the Annika dress is a playful mini with year-round appeal. Cut to an easy, figure-skimming shape and elevated with exaggerated sleeves finished with extra long cuffs and delicate ties, a scooped neckline, keyhole detailing and delicate ruffles that shape the body, it's a cool, contemporary piece with feminine overtones. As at home in your city wardrobe as it is in your suitcase, throw it on with sandals and hoops for effortless summer style or layer with boots, a blazer and your favourite accessories. Invisible zip fastening Keyhole fastening at neckline Open cuff details with string ties Decorative string tie details on hemline;150
Dali Dress;Dresses;Hot and heady with multiple elevated details that bring the drama, the Dali dress is a love-forever mini crafted from our cult, irresistibly spicy Fantini print. With exaggerated sleeves finished with extra long cuffs and delicate ties, keyhole detailing and a ruffled neckline and low back, it's a super-sexy dress that will take you from sun-filled days to dancing all night. Throw on over a bikini and sandals or dress it up with platforms. Slip on style Keyhole fastening at neckline Open cuff details with string ties Open back with self tie fastening;150
